Id,Species,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,Iris-setosa,6.455696,7.954545,2.028986,0.8
2,Iris-setosa,6.202532,6.818182,2.028986,0.8
3,Iris-setosa,5.949367,7.272727,1.884058,0.8
4,Iris-setosa,5.822785,7.045455,2.173913,0.8
5,Iris-setosa,6.329114,8.181818,2.028986,0.8
6,Iris-setosa,6.835443,8.863636,2.463768,1.6
7,Iris-setosa,5.822785,7.727273,2.028986,1.2
8,Iris-setosa,6.329114,7.727273,2.173913,0.8
9,Iris-setosa,5.56962,6.590909,2.028986,0.8
10,Iris-setosa,6.202532,7.045455,2.173913,0.4
11,Iris-setosa,6.835443,8.409091,2.173913,0.8
12,Iris-setosa,6.075949,7.727273,2.318841,0.8
13,Iris-setosa,6.075949,6.818182,2.028986,0.4
14,Iris-setosa,5.443038,6.818182,1.594203,0.4
15,Iris-setosa,7.341772,9.090909,1.73913,0.8
16,Iris-setosa,7.21519,10,2.173913,1.6
17,Iris-setosa,6.835443,8.863636,1.884058,1.6
18,Iris-setosa,6.455696,7.954545,2.028986,1.2
19,Iris-setosa,7.21519,8.636364,2.463768,1.2
20,Iris-setosa,6.455696,8.636364,2.173913,1.2
21,Iris-setosa,6.835443,7.727273,2.463768,0.8
22,Iris-setosa,6.455696,8.409091,2.173913,1.6
23,Iris-setosa,5.822785,8.181818,1.449275,0.8
24,Iris-setosa,6.455696,7.5,2.463768,2
25,Iris-setosa,6.075949,7.727273,2.753623,0.8
26,Iris-setosa,6.329114,6.818182,2.318841,0.8
27,Iris-setosa,6.329114,7.727273,2.318841,1.6
28,Iris-setosa,6.582278,7.954545,2.173913,0.8
29,Iris-setosa,6.582278,7.727273,2.028986,0.8
30,Iris-setosa,5.949367,7.272727,2.318841,0.8
31,Iris-setosa,6.075949,7.045455,2.318841,0.8
32,Iris-setosa,6.835443,7.727273,2.173913,1.6
33,Iris-setosa,6.582278,9.318182,2.173913,0.4
34,Iris-setosa,6.962025,9.545455,2.028986,0.8
35,Iris-setosa,6.202532,7.045455,2.173913,0.4
36,Iris-setosa,6.329114,7.272727,1.73913,0.8
37,Iris-setosa,6.962025,7.954545,1.884058,0.8
38,Iris-setosa,6.202532,7.045455,2.173913,0.4
39,Iris-setosa,5.56962,6.818182,1.884058,0.8
40,Iris-setosa,6.455696,7.727273,2.173913,0.8
41,Iris-setosa,6.329114,7.954545,1.884058,1.2
42,Iris-setosa,5.696203,5.227273,1.884058,1.2
43,Iris-setosa,5.56962,7.272727,1.884058,0.8
44,Iris-setosa,6.329114,7.954545,2.318841,2.4
45,Iris-setosa,6.455696,8.636364,2.753623,1.6
46,Iris-setosa,6.075949,6.818182,2.028986,1.2
47,Iris-setosa,6.455696,8.636364,2.318841,0.8
48,Iris-setosa,5.822785,7.272727,2.028986,0.8
49,Iris-setosa,6.708861,8.409091,2.173913,0.8
50,Iris-setosa,6.329114,7.5,2.028986,0.8
51,Iris-versicolor,8.860759,7.272727,6.811594,5.6
52,Iris-versicolor,8.101266,7.272727,6.521739,6
53,Iris-versicolor,8.734177,7.045455,7.101449,6
54,Iris-versicolor,6.962025,5.227273,5.797101,5.2
55,Iris-versicolor,8.227848,6.363636,6.666667,6
56,Iris-versicolor,7.21519,6.363636,6.521739,5.2
57,Iris-versicolor,7.974684,7.5,6.811594,6.4
58,Iris-versicolor,6.202532,5.454545,4.782609,4
59,Iris-versicolor,8.35443,6.590909,6.666667,5.2
60,Iris-versicolor,6.582278,6.136364,5.652174,5.6
61,Iris-versicolor,6.329114,4.545455,5.072464,4
62,Iris-versicolor,7.468354,6.818182,6.086957,6
63,Iris-versicolor,7.594937,5,5.797101,4
64,Iris-versicolor,7.721519,6.590909,6.811594,5.6
65,Iris-versicolor,7.088608,6.590909,5.217391,5.2
66,Iris-versicolor,8.481013,7.045455,6.376812,5.6
67,Iris-versicolor,7.088608,6.818182,6.521739,6
68,Iris-versicolor,7.341772,6.136364,5.942029,4
69,Iris-versicolor,7.848101,5,6.521739,6
70,Iris-versicolor,7.088608,5.681818,5.652174,4.4
71,Iris-versicolor,7.468354,7.272727,6.956522,7.2
72,Iris-versicolor,7.721519,6.363636,5.797101,5.2
73,Iris-versicolor,7.974684,5.681818,7.101449,6
74,Iris-versicolor,7.721519,6.363636,6.811594,4.8
75,Iris-versicolor,8.101266,6.590909,6.231884,5.2
76,Iris-versicolor,8.35443,6.818182,6.376812,5.6
77,Iris-versicolor,8.607595,6.363636,6.956522,5.6
78,Iris-versicolor,8.481013,6.818182,7.246377,6.8
79,Iris-versicolor,7.594937,6.590909,6.521739,6
80,Iris-versicolor,7.21519,5.909091,5.072464,4
81,Iris-versicolor,6.962025,5.454545,5.507246,4.4
82,Iris-versicolor,6.962025,5.454545,5.362319,4
83,Iris-versicolor,7.341772,6.136364,5.652174,4.8
84,Iris-versicolor,7.594937,6.136364,7.391304,6.4
85,Iris-versicolor,6.835443,6.818182,6.521739,6
86,Iris-versicolor,7.594937,7.727273,6.521739,6.4
87,Iris-versicolor,8.481013,7.045455,6.811594,6
88,Iris-versicolor,7.974684,5.227273,6.376812,5.2
89,Iris-versicolor,7.088608,6.818182,5.942029,5.2
90,Iris-versicolor,6.962025,5.681818,5.797101,5.2
91,Iris-versicolor,6.962025,5.909091,6.376812,4.8
92,Iris-versicolor,7.721519,6.818182,6.666667,5.6
93,Iris-versicolor,7.341772,5.909091,5.797101,4.8
94,Iris-versicolor,6.329114,5.227273,4.782609,4
95,Iris-versicolor,7.088608,6.136364,6.086957,5.2
96,Iris-versicolor,7.21519,6.818182,6.086957,4.8
97,Iris-versicolor,7.21519,6.590909,6.086957,5.2
98,Iris-versicolor,7.848101,6.590909,6.231884,5.2
99,Iris-versicolor,6.455696,5.681818,4.347826,4.4
100,Iris-versicolor,7.21519,6.363636,5.942029,5.2
101,Iris-virginica,7.974684,7.5,8.695652,10
102,Iris-virginica,7.341772,6.136364,7.391304,7.6
103,Iris-virginica,8.987342,6.818182,8.550725,8.4
104,Iris-virginica,7.974684,6.590909,8.115942,7.2
105,Iris-virginica,8.227848,6.818182,8.405797,8.8
106,Iris-virginica,9.620253,6.818182,9.565217,8.4
107,Iris-virginica,6.202532,5.681818,6.521739,6.8
108,Iris-virginica,9.240506,6.590909,9.130435,7.2
109,Iris-virginica,8.481013,5.681818,8.405797,7.2
110,Iris-virginica,9.113924,8.181818,8.84058,10
111,Iris-virginica,8.227848,7.272727,7.391304,8
112,Iris-virginica,8.101266,6.136364,7.681159,7.6
113,Iris-virginica,8.607595,6.818182,7.971014,8.4
114,Iris-virginica,7.21519,5.681818,7.246377,8
115,Iris-virginica,7.341772,6.363636,7.391304,9.6
116,Iris-virginica,8.101266,7.272727,7.681159,9.2
117,Iris-virginica,8.227848,6.818182,7.971014,7.2
118,Iris-virginica,9.746835,8.636364,9.710145,8.8
119,Iris-virginica,9.746835,5.909091,10,9.2
120,Iris-virginica,7.594937,5,7.246377,6
121,Iris-virginica,8.734177,7.272727,8.26087,9.2
122,Iris-virginica,7.088608,6.363636,7.101449,8
123,Iris-virginica,9.746835,6.363636,9.710145,8
124,Iris-virginica,7.974684,6.136364,7.101449,7.2
125,Iris-virginica,8.481013,7.5,8.26087,8.4
126,Iris-virginica,9.113924,7.272727,8.695652,7.2
127,Iris-virginica,7.848101,6.363636,6.956522,7.2
128,Iris-virginica,7.721519,6.818182,7.101449,7.2
129,Iris-virginica,8.101266,6.363636,8.115942,8.4
130,Iris-virginica,9.113924,6.818182,8.405797,6.4
131,Iris-virginica,9.367089,6.363636,8.84058,7.6
132,Iris-virginica,10,8.636364,9.275362,8
133,Iris-virginica,8.101266,6.363636,8.115942,8.8
134,Iris-virginica,7.974684,6.363636,7.391304,6
135,Iris-virginica,7.721519,5.909091,8.115942,5.6
136,Iris-virginica,9.746835,6.818182,8.84058,9.2
137,Iris-virginica,7.974684,7.727273,8.115942,9.6
138,Iris-virginica,8.101266,7.045455,7.971014,7.2
139,Iris-virginica,7.594937,6.818182,6.956522,7.2
140,Iris-virginica,8.734177,7.045455,7.826087,8.4
141,Iris-virginica,8.481013,7.045455,8.115942,9.6
142,Iris-virginica,8.734177,7.045455,7.391304,9.2
143,Iris-virginica,7.341772,6.136364,7.391304,7.6
144,Iris-virginica,8.607595,7.272727,8.550725,9.2
145,Iris-virginica,8.481013,7.5,8.26087,10
146,Iris-virginica,8.481013,6.818182,7.536232,9.2
147,Iris-virginica,7.974684,5.681818,7.246377,7.6
148,Iris-virginica,8.227848,6.818182,7.536232,8
149,Iris-virginica,7.848101,7.727273,7.826087,9.2
150,Iris-virginica,7.468354,6.818182,7.391304,7.2
