id,Type,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,building_windows_float_processed,9.915772,7.848101,10,3.142857,9.518631,0.096618,5.404571,0,0
2,building_windows_float_processed,9.893607,7.991945,8.017817,3.885714,9.644609,0.772947,4.836319,0,0
3,building_windows_float_processed,9.884284,7.78481,7.906459,4.4,9.679088,0.628019,4.805435,0,0
4,building_windows_float_processed,9.893933,7.60069,8.218263,3.685714,9.628696,0.917874,5.077208,0,0
5,building_windows_float_processed,9.892368,7.635213,8.062361,3.542857,9.691022,0.885668,4.984558,0,0
6,building_windows_float_processed,9.88285,7.359033,8.040089,4.628571,9.676435,1.030596,4.984558,0,5.098039
7,building_windows_float_processed,9.892433,7.652474,8.017817,3.257143,9.692348,0.933977,5.046325,0,0
8,building_windows_float_processed,9.893281,7.566168,8.040089,3,9.71224,0.917874,5.089561,0,0
9,building_windows_float_processed,9.903842,8.078251,7.973274,3.914286,9.558414,0.901771,5.126621,0,0
10,building_windows_float_processed,9.893215,7.479862,8.017817,3.885714,9.679088,0.917874,5.188388,0,2.156863
11,building_windows_float_processed,9.88122,7.318757,7.706013,4.457143,9.706935,1.078905,4.996912,0,4.705882
12,building_windows_float_processed,9.893737,7.364787,8.151448,3.628571,9.68174,0.966184,5.287214,0,0
13,building_windows_float_processed,9.882394,7.410817,7.639198,4,9.717544,1.111111,4.972205,0,4.705882
14,building_windows_float_processed,9.892759,7.39931,7.928731,3.628571,9.708262,0.869565,5.176035,0,3.333333
15,building_windows_float_processed,9.893737,7.255466,7.995546,3.742857,9.71887,0.933977,5.250154,0,0
16,building_windows_float_processed,9.893607,7.370541,7.884187,3.514286,9.71224,0.933977,5.182211,0,0
17,building_windows_float_processed,9.895106,7.295742,8.173719,3.314286,9.695001,0.982287,5.373687,0,0
18,building_windows_float_processed,9.921965,8.262371,8.57461,2.542857,9.462936,0.241546,5.651637,0,0
19,building_windows_float_processed,9.903385,7.997699,8.30735,3.371429,9.563718,0.096618,5.491044,0,0
20,building_windows_float_processed,9.891912,7.491369,7.884187,4.828571,9.644609,0.869565,5.213095,0,1.372549
21,building_windows_float_processed,9.89289,7.376295,7.906459,4.257143,9.647262,0.869565,5.262508,0,3.72549
22,building_windows_float_processed,9.906971,8.498274,8.351893,0.828571,9.550457,0.048309,5.558987,0,0
23,building_windows_float_processed,9.891977,7.35328,8.062361,3.685714,9.652566,0.950081,5.373687,0,0
24,building_windows_float_processed,9.892955,7.370541,7.951002,3.857143,9.683066,0.99839,5.305744,0,0
25,building_windows_float_processed,9.890934,7.698504,7.7951,3.285714,9.660522,0.805153,5.206918,0,0
26,building_windows_float_processed,9.893802,7.468354,7.884187,3.457143,9.680414,1.046699,5.268684,0,0
27,building_windows_float_processed,9.895693,7.60069,7.750557,4.028571,9.632675,0.950081,5.206918,0,0
28,building_windows_float_processed,9.890999,7.405063,7.750557,3.8,9.685718,0.901771,5.206918,0,0
29,building_windows_float_processed,9.894063,7.226697,7.839644,4.085714,9.700305,0.917874,5.274861,0,0
30,building_windows_float_processed,9.895106,7.525892,7.772829,3.657143,9.661849,0.966184,5.243978,0,0
31,building_windows_float_processed,9.894063,7.278481,7.928731,3.714286,9.691022,0.982287,5.367511,0,2.745098
32,building_windows_float_processed,9.892694,7.387802,7.7951,3.257143,9.716218,0.901771,5.281038,0,0
33,building_windows_float_processed,9.894519,7.393556,7.750557,3.514286,9.676435,0.982287,5.287214,0.285714,4.313725
34,building_windows_float_processed,9.893085,7.232451,7.728285,3.942857,9.732131,0.966184,5.281038,0,1.176471
35,building_windows_float_processed,9.895041,7.301496,7.884187,3.828571,9.673783,0.917874,5.404571,0,0
36,building_windows_float_processed,9.880959,7.64672,7.683742,3.457143,9.645936,0.901771,5.293391,0,0
37,building_windows_float_processed,9.903255,7.991945,7.861915,3.771429,9.52261,0.821256,5.423101,0.349206,0
38,building_windows_float_processed,9.895954,7.330265,7.750557,3.857143,9.675109,1.030596,5.361334,0,0
39,building_windows_float_processed,9.923073,8.176064,8.507795,1.342857,9.517305,0.177134,5.911056,0,0
40,building_windows_float_processed,9.923073,8.176064,8.507795,1.342857,9.517305,0.177134,5.911056,0,0
41,building_windows_float_processed,9.895693,7.359033,7.7951,3.2,9.684392,1.030596,5.416924,0,0
42,building_windows_float_processed,9.893215,7.313003,7.616927,3.428571,9.706935,0.950081,5.336628,0,0
43,building_windows_float_processed,9.89478,7.60069,7.550111,3.8,9.648588,0.950081,5.305744,0,0
44,building_windows_float_processed,9.922878,7.899885,8.552339,2.057143,9.515979,0.273752,6.016059,0,0
45,building_windows_float_processed,9.895236,7.324511,7.639198,3.4,9.673783,0.99839,5.410747,0,5.882353
46,building_windows_float_processed,9.902668,7.761795,7.750557,3.857143,9.541175,0.885668,5.558987,0,0
47,building_windows_float_processed,9.900647,7.589183,7.505568,3.371429,9.643283,0.917874,5.453984,0,3.137255
48,building_windows_float_processed,9.952671,8.049482,8.240535,2.028571,9.490784,0.032206,6.065473,0,1.960784
49,building_windows_float_processed,9.923725,7.60069,8.396437,2.257143,9.546479,0.20934,6.189006,0,0
50,building_windows_float_processed,9.902538,7.813579,7.461024,3.514286,9.558414,0.950081,5.503397,0,0
51,building_windows_float_processed,9.930049,7.894131,8.285078,1.457143,9.514653,0.144928,6.213712,0,3.137255
52,building_windows_float_processed,9.904363,7.594937,7.416481,3.657143,9.595544,0.966184,5.64546,0,2.156863
53,building_windows_float_processed,9.896671,7.727273,6.391982,3.4,9.659196,0.885668,5.577517,0,0
54,building_windows_float_processed,9.898561,7.560414,6.325167,3.657143,9.660522,0.885668,5.602224,0,0
55,building_windows_float_processed,9.894715,7.60069,6.258352,3.685714,9.677762,0.821256,5.57134,0,1.764706
56,building_windows_float_processed,9.894128,7.163406,6.035635,3.685714,9.77324,0.901771,5.596047,0,4.705882
57,building_windows_float_processed,9.858012,7.474108,7.728285,3.2,9.677762,0.99839,5.157505,0,6.078431
58,building_windows_float_processed,9.897714,7.405063,7.750557,3.685714,9.673783,0.966184,5.206918,0,0
59,building_windows_float_processed,9.89315,7.756041,8.329621,3.342857,9.679088,0.950081,4.959852,0,0
60,building_windows_float_processed,9.89315,7.704258,8.151448,3.4,9.652566,0.917874,5.108091,0,2.156863
61,building_windows_float_processed,9.902994,7.825086,8.062361,3.171429,9.632675,0.225443,5.410747,0,0
62,building_windows_float_processed,9.907688,7.945915,7.973274,3.771429,9.510675,0.193237,5.355158,2.190476,0
63,building_windows_float_processed,9.920401,7.773303,8.596882,2.514286,9.519958,0.37037,5.892526,0,2.156863
64,building_windows_float_processed,9.923986,8.153049,8.485523,2.228571,9.46161,0,5.985176,0,0
65,building_windows_float_processed,9.920401,7.756041,8.329621,2.571429,9.549131,0.289855,5.935763,0,1.372549
66,building_windows_float_processed,9.915642,7.87687,7.995546,3.2,9.542501,0.144928,5.806053,0,0
67,building_windows_float_processed,9.919097,7.508631,8.129176,2.485714,9.576979,0.305958,6.084002,0,3.333333
68,building_windows_float_processed,9.919097,7.508631,8.129176,2.485714,9.59024,0.305958,6.084002,0,3.333333
69,building_windows_float_processed,9.919097,7.548907,7.973274,2.571429,9.574327,0.37037,6.065473,0,3.137255
70,building_windows_float_processed,9.928745,7.658228,7.973274,2.342857,9.546479,0.193237,6.281655,0,0.588235
71,building_windows_non_float_processed,9.881416,8.550058,8.173719,4.971429,9.530566,0.257649,4.546016,0,2.352941
72,building_windows_non_float_processed,9.899278,7.848101,8.619154,3.628571,9.542501,0.869565,5.138975,0,6.27451
73,building_windows_non_float_processed,9.882654,7.531646,7.995546,4.342857,9.693675,1.078905,4.836319,0,0
74,building_windows_non_float_processed,9.885132,7.675489,7.951002,4.485714,9.663175,0.982287,4.873379,0,0
75,building_windows_non_float_processed,9.88285,7.491369,7.928731,4.4,9.695001,1.15942,4.879555,0,0
76,building_windows_non_float_processed,9.882459,7.491369,7.973274,4.314286,9.696327,1.111111,4.916615,0,0
77,building_windows_non_float_processed,9.886044,7.733026,8.040089,4.4,9.599523,1.062802,4.959852,0,0
78,building_windows_non_float_processed,9.884871,7.479862,7.973274,4.4,9.65787,0.982287,4.966028,0,0
79,building_windows_non_float_processed,9.883958,8.009206,7.839644,3.571429,9.664501,0.595813,4.904262,0,2.745098
80,building_windows_non_float_processed,9.882459,7.376295,7.839644,5.428571,9.661849,1.111111,4.922792,0,0
81,building_windows_non_float_processed,9.882589,7.39931,7.839644,6.057143,9.635327,1.111111,4.922792,0,0
82,building_windows_non_float_processed,9.882654,7.623705,7.683742,4.085714,9.702957,0.982287,4.854849,0,0
83,building_windows_non_float_processed,9.88611,7.715765,7.906459,3.571429,9.655218,1.095008,5.003088,0,0
84,building_windows_non_float_processed,9.88272,7.531646,7.839644,4.428571,9.663175,1.095008,4.972205,0,1.764706
85,building_windows_non_float_processed,9.870659,8.199079,6.88196,5.942857,9.584936,1.771337,4.37307,0,0
86,building_windows_non_float_processed,9.884741,7.686997,7.973274,4.257143,9.643283,0.724638,5.071032,0,0
87,building_windows_non_float_processed,9.88109,7.617952,7.772829,4.2,9.713566,0.611916,4.959852,0,0
88,building_windows_non_float_processed,9.886044,7.710012,7.772829,4.342857,9.634001,1.078905,4.990735,0,1.960784
89,building_windows_non_float_processed,9.884284,7.485616,7.7951,4.228571,9.665827,0.966184,5.015442,0,0
90,building_windows_non_float_processed,9.885718,7.220944,7.750557,5.342857,9.710914,1.014493,4.990735,0,1.764706
91,building_windows_non_float_processed,9.898822,7.439586,8.329621,3.171429,9.584936,1.030596,5.53428,0,4.313725
92,building_windows_non_float_processed,9.883437,7.422325,7.66147,4.142857,9.68837,0.708535,5.108091,0,0
93,building_windows_non_float_processed,9.882328,7.548907,7.594655,4.514286,9.714892,0.112721,5.182211,0,3.72549
94,building_windows_non_float_processed,9.882459,7.617952,7.438753,4.2,9.693675,0.628019,5.077208,0,0
95,building_windows_non_float_processed,9.885001,7.313003,7.416481,4.257143,9.717544,1.078905,5.089561,0,0
96,building_windows_non_float_processed,9.900061,7.686997,7.639198,4.085714,9.582284,0.821256,5.311921,0,0
97,building_windows_non_float_processed,9.898822,7.491369,8.062361,3.028571,9.592892,1.030596,5.639284,0,2.941176
98,building_windows_non_float_processed,9.892433,7.019563,7.238307,3.314286,9.753348,0.99839,5.497221,0,4.705882
99,building_windows_non_float_processed,9.888913,7.289988,6.414254,4.885714,9.708262,1.175523,5.274861,0,0
100,building_windows_non_float_processed,9.896866,7.456847,6.592428,4.085714,9.669805,0.966184,5.429277,0.444444,0
101,building_windows_non_float_processed,9.886696,7.336018,6.347439,4.114286,9.716218,0.917874,5.429277,0.349206,4.313725
102,building_windows_non_float_processed,9.891586,7.105869,6.057906,4.657143,9.663175,1.127214,5.70105,0,0
103,building_windows_non_float_processed,9.897453,7.26122,6.146993,2.371429,9.787827,0.563607,5.818406,0,3.921569
104,building_windows_non_float_processed,9.956452,7.940161,7.01559,1.885714,9.358175,0.128824,7.189623,0,0
105,building_windows_non_float_processed,9.935916,7.957422,6.458797,3.342857,9.435088,0.128824,6.664608,0,0
106,building_windows_non_float_processed,9.940154,6.588032,0,5.371429,9.573001,1.304348,8.177888,0,6.666667
107,building_windows_non_float_processed,9.982529,6.173763,0,6,9.257393,0.933977,8.214947,10,5.490196
108,building_windows_non_float_processed,10,7.0771,0,2.857143,9.303806,0.193237,10,0,4.705882
109,building_windows_non_float_processed,9.92366,8.302647,0,2.857143,9.636653,0.161031,7.115503,0,1.568627
110,building_windows_non_float_processed,9.897323,7.894131,0,1.6,9.872696,0,6.788141,0,0
111,building_windows_non_float_processed,9.952475,6.46145,0,2.2,9.708262,0,9.067326,0,0
112,building_windows_non_float_processed,9.957364,6.340621,0,2.142857,9.691022,0,9.240272,0,0
113,building_windows_non_float_processed,9.959842,7.272727,0,1.914286,9.550457,0.096618,8.894379,0,0
114,building_windows_non_float_processed,9.902147,7.744534,8.530067,3.6,9.62074,0.917874,5.071032,0,2.745098
115,building_windows_non_float_processed,9.899213,7.537399,8.841871,3.4,9.606153,0.966184,5.206918,0,0
116,building_windows_non_float_processed,9.899148,7.715765,8.663697,3.8,9.598197,0.821256,5.114268,0,0
117,building_windows_non_float_processed,9.89804,7.617952,8.685969,4.028571,9.591566,0.885668,5.132798,0,1.960784
118,building_windows_non_float_processed,9.890151,7.894131,8.195991,5.171429,9.555762,1.030596,4.867202,0,0
119,building_windows_non_float_processed,9.88787,7.652474,8.106904,4.371429,9.618088,1.046699,4.959852,0,5.686275
120,building_windows_non_float_processed,9.886501,7.802071,7.951002,4.2,9.607479,1.030596,4.916615,0,0
121,building_windows_non_float_processed,9.899018,7.623705,8.374165,3.771429,9.600849,0.933977,5.200741,0,0
122,building_windows_non_float_processed,9.887218,7.439586,7.884187,4.628571,9.675109,1.030596,4.959852,0,4.117647
123,building_windows_non_float_processed,9.888782,7.612198,7.884187,4.228571,9.659196,0.901771,5.003088,0,0
124,building_windows_non_float_processed,9.890086,7.756041,7.750557,4.885714,9.616762,0.99839,4.935145,0,0
125,building_windows_non_float_processed,9.920726,7.594937,8.195991,3.285714,9.647262,0.869565,5.262508,0,0
126,building_windows_non_float_processed,9.900843,7.439586,8.151448,4.457143,9.615436,0.933977,5.281038,0,2.352941
127,building_windows_non_float_processed,9.887479,7.445339,8.040089,3.6,9.647262,0.901771,5.311921,0,0
128,building_windows_non_float_processed,9.914468,7.928654,5.077951,4.085714,9.546479,0.78905,6.084002,0,3.333333
129,building_windows_non_float_processed,9.913621,7.796318,4.654788,4.771429,9.571675,0.853462,5.911056,0.857143,3.333333
130,building_windows_non_float_processed,9.910491,8.043728,3.006682,4.657143,9.515979,0.628019,6.522545,0,3.529412
131,building_windows_non_float_processed,9.920726,7.911392,2.249443,3.885714,9.573001,0.531401,6.880791,0,0
132,building_windows_non_float_processed,9.949215,7.882624,0,3.885714,9.447023,0.305958,8.301421,0,1.960784
133,building_windows_non_float_processed,9.896997,7.727273,8.864143,3.371429,9.612783,0.933977,5.033972,0,0
134,building_windows_non_float_processed,9.896149,7.888377,8.752784,4.4,9.52261,0.869565,5.071032,0,2.941176
135,building_windows_non_float_processed,9.896866,7.669735,8.57461,3.571429,9.65124,0.837359,5.015442,0,0
136,building_windows_non_float_processed,9.895432,7.589183,8.685969,3.714286,9.591566,0.885668,5.213095,0,5.490196
137,building_windows_non_float_processed,9.89654,7.479862,8.463252,3.085714,9.689696,0.901771,5.176035,0,2.352941
138,building_windows_non_float_processed,9.890347,7.416571,8.062361,4.485714,9.675109,0.982287,5.009265,0,0
139,building_windows_non_float_processed,9.887935,7.359033,7.839644,4.4,9.728153,1.062802,4.879555,0,0
140,building_windows_non_float_processed,9.887935,7.405063,7.928731,4.685714,9.698979,1.046699,4.935145,0,0
141,building_windows_non_float_processed,9.888978,7.669735,7.884187,4.6,9.619414,1.095008,5.009265,0,0
142,building_windows_non_float_processed,9.899474,7.594937,8.084633,3.057143,9.65787,0.917874,5.194565,0.285714,3.333333
143,building_windows_non_float_processed,9.887153,7.393556,7.817372,4.114286,9.68174,1.095008,5.083385,0.190476,4.901961
144,building_windows_non_float_processed,9.890217,7.479862,7.728285,5.114286,9.643283,1.062802,5.052502,0,0
145,building_windows_non_float_processed,9.887022,7.474108,7.082405,3.514286,9.676435,0.933977,5.441631,0,4.705882
146,building_windows_non_float_processed,9.898692,7.393556,8.173719,3.542857,9.623392,0.99839,5.361334,0,6.862745
147,vehicle_windows_float_processed ,9.894128,7.853855,8.151448,3.171429,9.649914,0.177134,5.311921,0,0
148,vehicle_windows_float_processed ,9.883763,7.669735,7.861915,3.828571,9.636653,0.901771,5.145151,0,0
149,vehicle_windows_float_processed ,9.887674,7.617952,7.951002,3.942857,9.640631,0.901771,5.213095,0,1.960784
150,vehicle_windows_float_processed ,9.885914,6.996548,7.839644,3.857143,9.665827,0.917874,5.268684,0,0
151,vehicle_windows_float_processed ,9.887348,7.560414,7.683742,5.028571,9.611457,0.966184,5.176035,0,3.333333
152,vehicle_windows_float_processed ,9.917467,8.239356,8.685969,2.371429,9.481501,0,5.861643,0,0
153,vehicle_windows_float_processed ,9.89478,7.848101,8.129176,1.857143,9.680414,0.096618,5.51575,0,0
154,vehicle_windows_float_processed ,9.883763,7.721519,7.572383,3.485714,9.639305,0.950081,5.138975,0,0
155,vehicle_windows_float_processed ,9.889239,7.39931,7.973274,3.742857,9.628696,0.982287,5.429277,0,0
156,vehicle_windows_float_processed ,9.88611,7.502877,7.572383,3.6,9.68174,0.837359,5.299568,0,0
157,vehicle_windows_float_processed ,9.886696,7.715765,7.550111,3.657143,9.632675,0.837359,5.342804,0,0
158,vehicle_windows_float_processed ,9.917076,8.072497,8.374165,1.657143,9.519958,0.177134,5.960469,0,0
159,vehicle_windows_float_processed ,9.894584,7.78481,7.594655,4.342857,9.55311,0.933977,5.429277,0,0
160,vehicle_windows_float_processed ,9.895888,7.767549,7.483296,4.657143,9.539849,0.917874,5.441631,0,1.764706
161,vehicle_windows_float_processed ,9.898235,7.669735,7.438753,4.4,9.566371,0.901771,5.55281,0,0
162,vehicle_windows_float_processed ,9.904885,7.848101,7.884187,2.142857,9.634001,0.257649,5.491044,0.47619,4.705882
163,vehicle_windows_float_processed ,9.922943,8.164557,8.418708,2.6,9.462936,0.37037,5.64546,0,7.254902
164,containers,9.877504,8.06099,5.96882,10,9.268002,2.705314,3.625695,6.984127,0
165,containers,9.903646,7.324511,4.120267,5.314286,9.639305,0.966184,6.232242,0,0
166,containers,9.920335,6.651323,4.187082,4.457143,9.661849,0.756844,7.04756,0,0
167,containers,9.919032,6.346375,3.808463,4.457143,9.738761,0.933977,7.17727,0,0
168,containers,9.907167,7.272727,0,4.714286,9.77987,0.611916,7.12168,0,0
169,containers,9.887413,7.39931,0,5.228571,9.797109,1.561997,6.281655,0,0
170,containers,9.908796,7.635213,0,5.028571,9.684392,0.756844,6.99197,0,0
171,containers,9.933243,7.733026,0,4.514286,9.576979,0.515298,7.560222,0,0
172,containers,9.864596,7.491369,0,8.685714,9.346241,10,4.29895,0,0
173,containers,9.864922,7.479862,0,8.628571,9.375414,10,4.28042,0,0
174,containers,9.911991,7.698504,0,4,9.580957,0.531401,7.720815,0,0
175,containers,9.912969,7.393556,3.585746,6.2,9.571675,1.223833,5.991353,0.761905,10
176,containers,9.916945,7.462601,0.734967,4.314286,9.732131,0.20934,6.961087,0,5.490196
177,tableware,9.902994,8.055236,5.32294,4.457143,9.59687,0,5.911056,0,0
178,tableware,9.90508,7.934407,5.367483,3.4,9.648588,0,6.034589,0,0
179,tableware,9.89804,8.319908,4.988864,4.628571,9.598197,0,5.71958,0,0
180,tableware,9.899539,8.10702,4.877506,4.742857,9.636653,0,5.75664,0,0
181,tableware,9.863488,8.285386,3.875278,4.4,9.885957,0,4.688079,0,0
182,tableware,9.901886,8.624856,1.737194,4.971429,9.61411,0,6.145769,0,0
183,tableware,9.903711,8.141542,0,5.971429,9.645936,0,6.720198,0,0
184,tableware,9.907167,8.377445,0,1.6,9.744066,0,6.930204,0,0
185,tableware,9.851493,10,0,0.971429,10,0,4.107474,0,0
186,headlamps,9.852536,7.87687,7.126949,5.171429,9.655218,2.834138,3.353922,3.777778,0
187,headlamps,9.898626,8.239356,7.260579,6.342857,9.448349,2.351047,3.576282,5.174603,0
188,headlamps,9.929723,7.733026,7.438753,3.514286,9.598197,0.966184,5.453984,0,0
189,headlamps,9.92529,8.550058,4.899777,5.885714,9.317067,1.223833,6.028413,0,0
190,headlamps,9.932983,9.085155,4.075724,3.742857,9.33961,0.499195,5.318098,5.333333,0
191,headlamps,9.883958,7.986191,3.964365,5.114286,9.693675,0,5.355158,2.412698,0
192,headlamps,9.883241,8.544304,0,6.8,9.717544,0,5.410747,2.031746,1.764706
193,headlamps,9.88461,8.170311,0,7.971429,9.741414,0.064412,5.583694,1.269841,1.764706
194,headlamps,9.890869,8.486766,0,5.714286,9.683066,0,5.268684,5.047619,1.568627
195,headlamps,9.888522,8.377445,0,5.657143,9.71887,0,5.262508,4.984127,1.372549
196,headlamps,9.879525,8.135788,0,7.657143,9.732131,0.128824,5.602224,1.936508,0.980392
197,headlamps,9.880242,7.980437,0,7.257143,9.710914,0.225443,5.81223,2.571429,0.196078
198,headlamps,9.89139,8.457998,0,6.685714,9.717544,0,5.528104,2.095238,0
199,headlamps,9.878612,8.273878,0,7.6,9.693675,0.064412,5.6084,2.031746,0
200,headlamps,9.883697,8.636364,0,7.171429,9.687044,0.080515,5.453984,1.68254,0
201,headlamps,9.877113,8.716916,0,6.428571,9.746718,0,5.151328,2,0
202,headlamps,9.886566,6.875719,0,3.4,9.9695,4.347826,5.51575,0,0
203,headlamps,9.877504,8.544304,0,6.914286,9.775892,0,5.182211,1.777778,0
204,headlamps,9.886892,8.515535,0,5.685714,9.695001,0,5.114268,5.428571,0
205,headlamps,9.884219,8.601841,0,6.485714,9.720196,0,5.379864,2.126984,0
206,headlamps,9.891716,8.601841,0,5.142857,9.679088,0,5.318098,4.920635,0
207,headlamps,9.886044,8.596087,0,5.342857,9.695001,0,5.355158,4.380952,0
208,headlamps,9.89817,8.279632,0,5.2,9.661849,2.270531,3.996294,9.142857,0
209,headlamps,9.885718,8.268124,0,7.828571,9.660522,0,5.836936,1.714286,0
210,headlamps,9.88461,8.135788,0,8.228571,9.628696,0.128824,5.670167,3.365079,0
211,headlamps,9.888652,8.58458,0,5.685714,9.68837,0,5.188388,5.047619,0
212,headlamps,9.913425,8.262371,0,5.771429,9.736109,0,5.213095,5.206349,0
213,headlamps,9.886435,8.273878,0,5.542857,9.761305,0,5.237801,4.984127,0
214,headlamps,9.890347,8.187572,0,5.942857,9.728153,0,5.324274,5.301587,0
